classifier,PCA,accuracy,precision,recall,f1 score,duration,samples,tp,tn,fp,fn
SVC,91,0.821958457,0.798507463,0.764285714,0.781021898,0.002083333,1683,,,,
DecisionTreeClassifier,91,0.902077151,0.896296296,0.864285714,0.88,0.00234375,1683,,,,
LogisticRegression,91,0.783382789,0.705521472,0.821428571,0.759075908,0.001041667,1683,,,,
Perceptron,91,0.786350148,0.833333333,0.607142857,0.702479339,0.000260417,1683,,,,
RandomForestClassifier,91,0.893175074,0.888059701,0.85,0.868613139,0.003645833,1683,,,,
GaussianNB,91,0.804154303,0.776119403,0.742857143,0.759124088,0.003125,1683,,,,
AdaBoostClassifier,91,0.90504451,0.897058824,0.871428571,0.884057971,0.00703125,1683,,,,
MLPClassifier,91,0.884272997,0.858156028,0.864285714,0.861209964,0.048697917,1683,,,,
gradient_boosti,91,0.943620178,0.941605839,0.921428571,0.931407942,0.293229167,1683,,,,
GradientBoostingClassifier,91,0.881305638,0.842465753,0.878571429,0.86013986,0.351041667,1683,,,,
SVC,91,0.821958457,0.798507463,0.764285714,0.781021898,0.002604167,1683,,,,
DecisionTreeClassifier,91,0.896142433,0.888888889,0.857142857,0.872727273,0.00234375,1683,,,,
LogisticRegression,91,0.783382789,0.705521472,0.821428571,0.759075908,0.00078125,1683,,,,
Perceptron,91,0.786350148,0.833333333,0.607142857,0.702479339,0.001302083,1683,,,,
RandomForestClassifier,91,0.887240356,0.875,0.85,0.862318841,0.003385417,1683,,,,
GaussianNB,91,0.804154303,0.776119403,0.742857143,0.759124088,0.003385417,1683,,,,
AdaBoostClassifier,91,0.90504451,0.897058824,0.871428571,0.884057971,0.00703125,1683,,,,
MLPClassifier,91,0.887240356,0.85915493,0.871428571,0.865248227,0.054947917,1683,,,,
gradient_boosti,91,0.943620178,0.941605839,0.921428571,0.931407942,0.287239583,1683,,,,
GradientBoostingClassifier,91,0.881305638,0.842465753,0.878571429,0.86013986,0.289322917,1683,,,,
SVC,91,0.821958457,0.798507463,0.764285714,0.781021898,0.002083333,1683,,,,
DecisionTreeClassifier,91,0.896142433,0.888888889,0.857142857,0.872727273,0.002604167,1683,,,,
LogisticRegression,91,0.783382789,0.705521472,0.821428571,0.759075908,0.000520833,1683,,,,
Perceptron,91,0.786350148,0.833333333,0.607142857,0.702479339,0.00078125,1683,,,,
RandomForestClassifier,91,0.899109792,0.895522388,0.857142857,0.875912409,0.003385417,1683,,,,
GaussianNB,91,0.804154303,0.776119403,0.742857143,0.759124088,0.003385417,1683,,,,
AdaBoostClassifier,91,0.90504451,0.897058824,0.871428571,0.884057971,0.006770833,1683,,,,
MLPClassifier,91,0.884272997,0.858156028,0.864285714,0.861209964,0.04140625,1683,,,,
gradient_boosti,91,0.943620178,0.941605839,0.921428571,0.931407942,0.28125,1683,,,,
GradientBoostingClassifier,91,0.881305638,0.842465753,0.878571429,0.86013986,0.331510417,1683,,,,
SVC,80,0.765578635,0.73015873,0.671532847,0.699619772,0.001822917,1683,,,,
DecisionTreeClassifier,80,0.890207715,0.916666667,0.802919708,0.856031128,0.002604167,1683,,,,
LogisticRegression,80,0.759643917,0.668674699,0.810218978,0.732673267,0.000520833,1683,,,,
Perceptron,80,0.759643917,0.662790698,0.832116788,0.737864078,0.00078125,1683,,,,
RandomForestClassifier,80,0.87537092,0.927927928,0.751824818,0.830645161,0.003125,1683,,,,
GaussianNB,80,0.765578635,0.754385965,0.627737226,0.685258964,0.002864583,1683,,,,
AdaBoostClassifier,80,0.881305638,0.900826446,0.795620438,0.84496124,0.00625,1683,,,,
MLPClassifier,80,0.884272997,0.89516129,0.810218978,0.850574713,0.038802083,1683,,,,
gradient_boosti,80,0.902077151,0.940677966,0.810218978,0.870588235,0.294791667,1683,,,,
GradientBoostingClassifier,80,0.881305638,0.888,0.810218978,0.847328244,0.30546875,1683,,,,
SVC,80,0.765578635,0.73015873,0.671532847,0.699619772,0.002083333,1683,,,,
DecisionTreeClassifier,80,0.896142433,0.925,0.810218978,0.86381323,0.00234375,1683,,,,
LogisticRegression,80,0.759643917,0.668674699,0.810218978,0.732673267,0.000520833,1683,,,,
Perceptron,80,0.759643917,0.662790698,0.832116788,0.737864078,0.000520833,1683,,,,
RandomForestClassifier,80,0.869436202,0.911504425,0.751824818,0.824,0.003125,1683,,,,
GaussianNB,80,0.765578635,0.754385965,0.627737226,0.685258964,0.003125,1683,,,,
AdaBoostClassifier,80,0.881305638,0.900826446,0.795620438,0.84496124,0.00625,1683,,,,
MLPClassifier,80,0.878338279,0.880952381,0.810218978,0.844106464,0.0375,1683,,,,
gradient_boosti,80,0.902077151,0.940677966,0.810218978,0.870588235,0.24765625,1683,,,,
GradientBoostingClassifier,80,0.881305638,0.888,0.810218978,0.847328244,0.29453125,1683,,,,
